Age,Experience,Income,Family,CCAvg,Mortgage,Securities Account,CD Account,Online,CreditCard,Edu_2,Edu_3
35,11,41,1,2.4,0,0,0,0,0,1,0
42,18,89,4,0.8,184,0,0,0,0,0,0
52,27,113,1,0.1,0,0,0,0,0,0,1
58,34,82,1,4.3,263,0,0,0,0,0,0
33,7,100,1,2.7,126,0,0,1,0,1,0
59,34,42,3,1.5,0,1,1,0,1,0,0
51,27,75,1,2.7,0,0,0,0,0,0,0
62,36,28,3,0.7,0,0,0,1,0,1,0
64,39,73,3,2.2,0,1,0,0,1,0,0
31,7,35,2,1.0,0,0,0,0,1,1,0
52,28,55,1,1.6,0,0,0,0,0,0,1
57,32,60,3,1.7,0,1,1,1,1,0,0
30,6,25,3,1.0,135,0,0,0,1,1,0
46,21,34,2,1.3,116,0,0,0,0,0,0
65,39,18,2,0.4,0,1,1,1,1,0,0
52,22,22,4,0.4,0,0,0,1,1,0,1
35,10,78,1,2.6,0,0,0,1,0,1,0
40,16,60,2,3.2,0,0,0,0,0,0,0
32,8,98,2,2.0,175,0,0,1,0,1,0
43,19,60,3,2.1,0,0,0,1,0,0,1
31,5,28,4,0.8,0,0,0,0,0,0,0
38,13,12,2,0.3,104,1,0,1,0,1,0
61,36,188,1,9.3,0,0,0,0,0,1,0
52,26,104,2,2.4,0,0,0,1,1,1,0
42,17,108,3,1.0,383,0,0,1,0,0,0
51,25,65,3,0.7,0,0,0,0,0,1,0
51,25,32,2,0.4,0,0,0,1,0,0,1
40,16,34,1,0.7,0,0,0,1,1,0,0
46,21,44,1,0.3,110,1,0,1,0,0,0
36,11,184,2,5.1,0,0,0,0,0,1,0
41,14,9,3,1.0,0,0,0,0,0,1,0
32,7,185,2,6.7,0,0,1,1,1,0,0
57,33,64,4,2.2,0,0,0,1,0,0,0
65,40,89,1,4.1,299,0,1,1,0,0,0
43,19,60,2,2.5,0,1,0,0,0,0,0
53,29,94,4,1.0,0,0,0,1,0,1,0
55,30,22,1,1.5,91,0,0,0,1,1,0
51,27,42,4,0.1,0,0,0,0,0,0,1
48,23,75,4,3.6,0,0,0,1,1,0,1
32,8,65,1,1.2,268,0,0,1,0,0,0
62,32,19,1,1.5,0,1,0,0,0,0,1
27,2,45,2,1.7,0,0,0,0,1,1,0
23,-3,55,3,2.4,145,0,0,1,0,1,0
31,1,68,4,4.0,0,0,0,1,0,0,1
47,20,81,1,2.67,0,0,0,1,0,1,0
33,9,19,2,1.0,92,0,0,1,0,1,0
32,6,18,2,0.3,0,0,0,1,0,1,0
62,37,169,3,5.0,184,0,1,1,1,1,0
58,33,75,2,0.0,0,0,0,1,0,0,1
63,37,20,2,0.4,76,0,0,0,0,0,0
42,18,39,3,2.1,0,0,0,0,0,0,1
53,27,60,1,0.2,0,0,0,1,0,0,0
60,35,55,3,0.5,172,0,0,0,0,1,0
50,26,42,2,1.0,78,1,0,1,0,0,1
41,15,158,1,4.7,0,1,1,0,1,1,0
62,36,30,3,0.7,0,0,0,1,0,1,0
48,23,8,1,0.4,0,0,0,0,1,0,1
46,21,170,2,2.8,0,0,0,0,0,0,0
41,17,99,2,1.8,0,0,0,1,1,1,0
30,6,45,1,1.8,0,0,0,1,0,1,0
65,40,118,1,1.3,333,0,1,1,1,0,0
35,10,105,1,4.6,0,0,0,0,0,0,0
44,18,53,1,0.2,0,0,0,1,0,0,0
44,19,83,4,0.4,141,0,0,0,0,0,0
43,18,35,1,0.6,0,0,0,0,0,0,1
28,4,83,3,0.8,0,0,0,1,1,0,0
37,11,81,3,0.9,0,0,0,1,1,1,0
29,3,123,3,5.6,428,0,0,1,0,0,1
54,28,33,2,0.7,0,0,0,0,1,1,0
43,17,91,1,5.7,0,0,0,1,0,0,0
49,23,82,2,2.4,0,0,0,0,0,1,0
45,21,115,2,3.3,85,0,0,1,0,0,0
54,28,45,3,1.4,0,0,0,0,1,0,0
57,32,113,1,0.1,0,0,0,1,0,0,1
39,13,39,2,0.8,0,0,0,0,0,0,1
28,2,182,3,7.2,442,0,1,1,1,1,0
60,35,119,2,3.9,0,1,0,1,0,0,0
60,35,153,3,2.0,0,0,0,0,1,0,1
27,3,82,2,0.2,0,0,0,0,1,0,0
35,9,100,1,2.7,0,0,0,0,0,1,0
43,19,114,1,1.7,0,0,0,1,0,0,0
30,4,40,1,0.3,0,0,0,1,0,0,0
50,24,22,1,0.3,0,0,0,0,1,0,1
57,32,64,3,1.6,0,0,0,1,0,0,1
48,22,79,3,0.7,0,0,0,1,0,1,0
31,6,44,4,0.8,0,0,0,0,0,0,0
55,30,39,2,1.9,0,0,0,0,0,1,0
34,10,45,1,1.7,84,0,0,0,0,0,0
32,8,8,4,0.7,0,1,0,1,0,1,0
57,32,30,2,2.0,0,0,0,0,0,1,0
40,14,92,4,1.4,0,0,0,1,0,1,0
51,27,12,4,1.0,0,1,0,1,0,0,0
30,5,38,4,2.0,0,1,0,0,0,1,0
58,33,53,4,2.1,0,0,0,1,0,0,0
35,10,79,4,2.1,182,0,0,1,0,0,1
46,21,154,2,2.8,94,0,0,0,0,0,0
49,23,12,2,0.1,0,1,1,1,0,0,1
49,24,138,2,2.2,0,0,0,1,0,1,0
45,20,22,1,0.1,0,0,0,0,0,0,0
43,19,28,4,0.3,87,0,0,0,0,0,0
57,32,70,3,1.6,0,0,0,0,0,0,1
58,32,111,2,1.4,298,0,0,1,0,0,0
47,23,89,1,2.6,0,1,1,1,1,1,0
39,14,61,3,0.5,137,0,0,1,0,0,1
49,24,13,2,0.0,0,0,0,1,0,0,0
29,5,31,4,0.4,161,0,0,1,1,1,0
53,29,20,1,0.2,0,1,1,1,1,0,0
36,12,89,2,2.7,0,0,0,0,0,0,0
42,18,43,1,0.3,158,0,0,0,0,0,1
66,41,144,1,2.5,0,1,1,1,1,0,0
29,5,162,1,4.3,0,0,0,0,1,0,0
63,33,178,4,9.0,0,0,0,0,0,0,1
27,2,110,4,1.8,190,0,0,1,0,0,1
67,43,79,4,1.7,215,0,1,1,1,1,0
48,23,173,3,0.2,0,0,1,1,1,0,0
33,8,162,1,8.6,0,0,1,1,1,0,0
30,4,11,1,0.1,0,0,0,1,1,1,0
40,16,138,2,6.1,0,0,0,1,0,0,0
52,28,21,2,0.4,0,1,0,1,0,0,0
32,7,35,3,1.3,116,0,0,0,1,0,0
29,3,190,2,4.5,0,0,0,1,0,0,0
65,39,25,2,0.4,113,0,0,1,0,0,0
54,29,68,3,1.6,0,0,0,1,1,0,1
57,33,25,2,1.0,0,0,0,1,0,0,0
27,2,68,3,2.6,203,1,0,0,0,0,1
38,14,74,1,3.6,0,0,0,1,1,1,0
49,23,33,1,0.3,0,0,1,1,1,0,1
29,5,149,1,1.5,0,0,0,1,0,0,0
60,35,38,3,0.5,0,0,0,1,1,1,0
41,15,120,1,5.2,0,0,0,1,0,0,0
52,26,112,1,2.4,0,1,1,1,1,0,0
52,28,11,3,0.4,0,1,0,0,0,0,0
29,3,103,4,3.4,0,0,0,1,0,0,0
30,5,83,4,1.8,0,0,0,0,1,0,1
29,3,175,3,3.3,329,0,0,1,0,0,1
61,35,91,2,2.0,0,0,0,1,0,0,0
57,32,44,3,0.5,0,0,0,1,0,1,0
24,-1,38,4,0.6,0,0,0,1,0,1,0
58,33,73,4,0.7,241,0,0,0,0,0,0
33,9,83,1,0.1,0,0,0,1,0,0,0
40,15,40,2,2.2,107,0,0,1,0,0,1
57,32,80,3,1.6,144,0,0,1,1,0,1
38,12,58,2,2.8,0,0,0,1,0,0,0
47,23,75,1,2.6,0,0,0,0,1,1,0
29,3,35,2,0.3,88,0,1,1,1,0,0
48,22,39,1,1.2,0,0,0,0,0,1,0
39,13,81,2,2.8,0,0,0,1,0,0,0
28,3,45,4,1.7,95,0,0,0,0,1,0
31,7,42,1,2.4,0,0,0,1,1,1,0
57,33,79,1,2.7,294,0,0,1,1,1,0
33,7,115,1,2.7,283,0,0,1,0,1,0
28,3,118,3,2.4,161,0,0,0,0,1,0
56,32,158,3,3.7,0,0,0,1,0,0,1
43,17,21,3,1.5,0,0,0,0,0,0,0
61,36,10,4,0.4,0,0,0,1,0,1,0
30,6,141,2,4.33,0,0,0,0,0,0,0
62,37,83,3,1.8,187,1,0,0,0,1,0
64,38,168,4,5.7,0,0,0,1,0,0,1
40,15,180,1,4.1,0,0,0,0,0,0,0
30,5,122,2,3.1,0,0,0,0,0,0,0
32,7,35,3,1.3,108,0,0,0,1,0,0
65,41,134,3,3.9,121,0,0,1,0,0,1
32,6,44,4,0.2,0,1,1,1,1,0,0
59,35,40,4,0.4,0,0,0,0,0,0,0
51,25,185,1,1.7,0,0,0,0,0,0,0
57,33,43,3,1.5,168,0,0,0,1,0,0
40,14,58,4,0.2,0,0,0,1,0,0,1
52,27,15,4,0.8,101,0,0,0,0,0,0
39,9,32,3,2.0,0,0,0,1,0,0,1
46,22,19,3,0.5,0,0,0,1,0,0,0
42,18,110,2,6.1,182,0,0,1,0,0,0
64,40,43,1,1.9,0,0,0,1,0,1,0
62,37,83,4,0.1,0,0,0,0,0,1,0
29,5,31,1,1.8,0,0,0,1,1,1,0
48,22,128,1,5.7,0,1,0,0,0,0,0
41,16,15,2,0.3,83,0,0,0,0,1,0
35,8,30,4,1.0,0,1,0,0,0,1,0
41,17,40,2,2.5,0,0,1,1,1,0,0
55,30,58,4,0.9,0,0,0,1,1,0,0
45,21,83,4,2.0,0,0,0,1,0,0,1
49,24,91,1,2.8,0,0,0,0,0,1,0
28,4,32,3,1.0,0,0,0,0,0,1,0
50,24,62,2,0.8,0,0,0,1,0,0,1
34,8,165,1,7.0,541,0,0,0,0,0,1
36,9,40,2,1.67,129,1,0,1,0,1,0
25,0,91,2,1.8,321,0,0,0,0,1,0
31,7,135,4,3.8,0,0,1,1,1,1,0
54,29,65,4,1.8,0,0,0,0,1,0,1
55,30,35,1,1.5,118,0,0,0,1,1,0
54,28,49,4,2.8,0,1,0,0,0,1,0
36,11,103,1,4.6,255,0,0,1,0,0,0
26,0,54,3,0.3,0,0,0,1,0,0,1
28,2,149,2,7.2,0,0,0,1,0,0,0
33,9,10,4,1.0,81,0,0,0,1,0,0
33,9,145,2,4.33,277,0,0,0,1,0,0
36,12,18,4,1.0,0,0,0,1,1,0,0
60,36,31,3,0.4,0,0,0,1,1,1,0
42,17,95,3,0.5,0,0,0,0,0,0,1
43,18,41,1,0.3,0,0,0,1,0,0,1
37,11,14,3,0.1,113,0,0,1,0,1,0
48,24,58,2,1.7,0,0,0,0,0,0,0
28,4,85,3,2.5,0,0,0,1,0,0,0
57,32,33,1,1.5,0,0,0,1,0,1,0
54,28,140,1,2.9,0,0,0,1,0,0,0
61,35,51,3,1.4,0,0,0,1,0,0,1
34,10,54,3,2.0,0,0,0,0,0,0,0
49,25,39,3,1.9,0,0,0,0,0,1,0
43,18,41,1,0.5,0,0,0,0,0,0,1
54,28,61,3,3.0,0,0,0,1,1,1,0
44,18,90,4,2.6,0,0,0,1,0,0,1
64,39,49,2,1.5,0,1,0,1,0,0,0
36,11,195,2,3.0,0,0,0,1,1,0,0
55,31,90,1,2.7,0,0,0,1,1,1,0
41,17,28,1,0.7,0,0,0,0,1,0,0
64,40,52,2,1.1,226,0,0,0,0,0,0
39,15,52,3,2.33,0,0,0,1,0,0,0
39,13,93,1,1.5,0,0,0,0,1,0,1
55,30,82,4,1.3,219,0,0,0,1,0,1
56,30,45,4,0.7,0,0,0,0,1,1,0
33,8,39,4,0.8,0,0,0,1,0,0,0
64,40,90,2,0.0,134,0,0,0,0,0,1
27,2,170,3,4.7,0,0,0,1,0,0,0
38,13,129,4,0.3,75,0,0,1,0,0,1
62,36,83,4,2.4,0,1,0,0,0,0,1
44,17,29,3,1.0,0,0,0,1,1,1,0
39,15,128,1,3.4,0,0,0,0,0,0,0
48,22,28,1,1.4,75,0,0,1,0,0,1
42,17,73,4,0.4,0,1,0,0,0,0,0
37,13,105,1,0.8,0,0,0,0,1,1,0
57,27,90,2,4.5,0,0,0,1,0,0,1
49,25,30,4,0.6,0,0,0,0,0,0,0
28,2,31,2,0.3,0,1,0,1,0,1,0
42,18,189,2,7.6,0,0,0,1,0,0,0
54,29,58,4,1.3,0,0,0,0,0,0,1
60,34,53,1,0.8,0,1,0,0,1,1,0
34,8,52,4,0.2,0,0,0,1,0,0,0
36,12,58,1,3.6,0,0,0,0,0,1,0
47,22,40,3,2.7,0,0,0,1,0,1,0
41,16,175,2,1.1,0,0,0,1,0,0,1
26,1,102,1,1.9,0,0,0,0,0,0,0
46,21,13,2,0.7,0,0,0,1,0,0,1
39,14,89,2,0.4,0,0,0,1,0,0,0
62,36,158,2,6.3,0,0,0,1,0,0,1
59,34,14,1,0.1,0,0,0,1,1,0,0
37,12,60,4,2.1,217,0,0,1,0,0,1
58,28,81,1,3.0,0,0,0,1,0,0,1
38,13,54,3,0.7,196,0,0,0,0,1,0
53,29,95,1,2.7,0,0,0,1,0,1,0
65,41,133,4,2.0,0,0,0,0,1,0,0
30,6,52,3,0.7,0,0,0,1,0,1,0
30,5,23,2,0.9,0,1,0,1,0,0,1
67,42,51,3,2.2,0,0,0,1,1,0,0
56,32,173,1,4.6,88,0,1,1,0,1,0
53,23,58,4,2.0,0,0,0,1,1,0,1
64,39,8,3,0.1,87,0,0,0,1,0,1
30,4,110,1,2.9,0,0,0,1,0,0,1
49,23,60,3,0.7,142,0,0,1,1,1,0
36,11,44,2,1.1,85,0,0,1,0,1,0
41,16,64,3,0.5,0,0,0,0,0,0,1
50,25,15,1,0.4,0,0,0,0,0,0,1
58,32,28,2,0.3,148,0,0,0,0,0,0
64,39,182,1,1.2,547,0,0,1,0,1,0
52,26,78,3,3.0,0,0,0,0,1,1,0
34,8,38,2,2.0,0,0,0,1,1,0,1
62,36,44,2,0.3,0,0,0,0,0,0,0
32,6,98,2,4.5,306,0,0,0,0,0,1
25,-1,113,4,2.3,0,0,0,0,1,0,1
46,20,39,1,0.2,0,0,0,0,0,0,0
65,41,83,3,2.0,0,0,0,1,0,0,1
62,37,44,1,1.1,0,0,0,0,0,0,1
34,9,198,2,3.0,422,0,0,1,0,0,0
55,25,70,3,1.4,0,0,0,1,0,0,1
36,11,90,1,2.8,0,0,0,1,0,0,0
33,8,65,2,0.1,89,0,0,1,0,0,0
42,17,53,4,1.9,0,0,0,1,0,0,1
58,28,122,1,3.0,115,0,0,1,0,0,1
44,20,130,1,5.0,0,0,0,0,1,0,0
37,11,19,3,0.2,0,0,0,1,0,1,0
60,34,83,2,2.0,249,0,0,0,0,0,0
46,22,84,4,2.0,0,0,0,1,0,0,1
30,6,83,4,3.4,0,1,0,1,0,0,0
30,4,63,4,2.2,0,1,0,1,0,1,0
51,26,90,1,2.8,0,0,0,1,1,1,0
56,32,60,1,1.8,227,0,0,1,0,0,1
48,23,63,4,3.6,0,0,0,0,0,0,1
63,38,103,1,2.5,0,0,0,1,0,0,0
56,30,29,4,1.5,146,0,0,0,0,0,1
56,31,51,3,1.7,0,0,0,1,1,0,0
44,19,78,2,3.8,268,0,0,0,0,0,1
33,9,50,1,2.4,0,0,0,0,0,1,0
66,41,70,3,2.2,0,0,0,0,0,0,0
27,2,85,1,1.9,0,0,0,1,1,0,0
44,19,74,4,1.9,0,0,0,0,0,0,1
52,28,38,4,0.9,0,0,0,0,1,1,0
49,23,129,1,0.3,0,0,0,1,1,0,0
64,39,24,4,0.6,0,0,0,0,0,1,0
46,20,54,1,0.7,154,0,0,1,1,0,1
30,4,50,1,1.5,0,0,0,0,0,0,0
37,12,194,4,0.2,211,1,1,1,1,0,1
61,37,45,1,0.8,0,0,0,0,0,0,0
38,14,49,3,2.8,0,0,0,0,0,0,0
43,17,124,1,5.2,0,0,0,0,0,0,0
26,2,48,3,0.7,0,0,0,1,0,1,0
43,18,50,4,1.9,0,0,0,0,0,0,1
59,35,25,2,0.3,75,0,0,1,0,0,0
30,5,73,1,2.6,133,0,0,1,0,1,0
59,35,52,4,1.5,0,0,0,1,1,0,0
25,-1,69,3,0.3,0,0,0,1,0,0,1
61,35,61,3,2.2,117,0,0,1,1,0,1
27,3,81,3,1.5,307,1,1,1,1,0,0
53,27,101,4,4.9,0,0,0,1,0,0,0
44,19,82,2,0.4,0,0,0,1,1,0,0
30,4,25,2,0.3,0,1,0,1,0,0,0
25,1,113,2,0.2,0,0,0,1,1,0,0
53,28,48,2,1.9,0,0,0,1,0,1,0
62,38,83,1,1.8,0,0,0,1,0,0,1
32,8,44,1,1.8,192,0,0,1,0,1,0
30,5,109,4,2.2,103,0,0,0,1,1,0
50,24,30,4,0.1,161,0,0,1,1,0,0
56,32,84,1,4.3,0,0,0,1,1,0,0
51,25,181,1,1.7,0,0,0,1,1,0,0
37,12,175,2,7.8,297,0,0,1,1,0,0
36,12,51,3,2.0,214,0,0,1,0,0,0
51,25,175,3,0.7,312,0,0,0,0,0,0
40,15,73,3,3.0,0,0,0,1,1,0,0
38,14,122,2,8.0,0,0,0,1,1,0,0
54,30,112,2,6.8,0,0,0,1,0,0,0
31,6,72,1,2.6,0,0,0,1,0,1,0
59,33,63,1,1.6,0,0,0,1,1,0,0
50,24,40,4,2.6,89,0,0,1,0,0,0
56,32,38,4,1.3,166,0,0,1,1,0,0
44,19,70,1,0.2,230,1,0,0,0,1,0
32,6,31,1,0.3,0,0,0,0,0,0,0
55,30,99,1,0.1,0,0,0,0,0,0,1
46,21,99,2,3.8,194,0,0,1,0,0,1
47,22,81,1,2.9,0,0,0,0,1,0,0
60,35,22,1,1.3,80,0,0,0,0,0,0
30,5,141,1,0.8,0,0,0,1,0,0,0
60,34,44,1,0.2,0,0,0,0,1,0,0
31,5,50,4,1.8,0,0,0,1,0,0,1
55,31,9,4,0.7,89,0,0,1,0,0,0
30,4,18,4,0.3,84,0,0,1,0,1,0
57,32,25,2,0.2,0,0,0,1,1,0,1
43,19,35,1,0.7,0,0,0,0,0,0,0
30,3,32,1,2.0,0,0,0,1,1,1,0
41,15,38,2,0.7,91,0,0,1,0,0,0
33,7,32,1,0.6,152,0,0,0,0,0,1
56,31,61,4,1.3,0,0,0,1,1,0,1
60,34,95,2,0.7,322,0,0,1,1,1,0
44,20,65,2,2.5,0,0,0,1,0,0,0
28,3,135,2,3.3,0,0,0,0,1,0,0
59,33,113,2,2.0,77,0,0,1,0,0,0
62,38,91,1,3.8,0,1,0,1,0,0,0
56,30,50,4,2.8,0,1,0,1,0,1,0
34,9,71,4,0.7,0,0,0,1,0,0,1
33,9,44,1,1.2,0,0,0,0,0,0,0
60,34,92,2,2.0,0,0,0,0,0,0,0
62,37,31,3,0.2,0,0,0,1,0,0,0
44,14,44,3,2.0,180,1,1,1,1,0,1
31,7,38,1,1.8,182,0,1,1,1,1,0
30,5,131,3,0.5,0,0,0,0,0,0,1
47,23,163,1,5.0,0,0,0,0,0,0,0
56,30,60,1,2.2,0,0,0,0,0,0,1
42,17,85,1,3.7,272,0,0,0,0,0,1
41,16,99,1,1.0,0,0,0,1,0,0,1
62,36,44,2,1.0,0,0,0,0,0,0,1
58,32,38,1,2.2,0,0,0,0,0,0,1
43,16,8,3,0.67,88,0,0,1,0,1,0
55,30,64,2,1.9,0,0,0,0,0,1,0
25,-1,109,4,2.3,314,0,0,1,0,0,1
45,19,69,1,2.8,220,0,0,1,1,0,0
35,5,203,1,10.0,0,0,0,0,0,0,1
53,28,55,4,0.9,119,0,0,1,1,0,0
56,32,125,3,0.6,342,0,1,1,1,0,0
47,23,160,2,6.67,0,0,0,0,0,0,0
55,31,73,4,1.6,0,0,0,0,0,1,0
29,5,83,3,1.5,0,0,0,1,1,0,0
45,19,25,2,0.1,102,0,0,1,0,0,1
47,22,81,1,2.9,138,0,0,0,0,0,0
32,7,44,4,0.8,0,0,0,1,0,0,0
45,19,122,4,4.1,0,0,0,1,0,1,0
54,30,18,1,0.3,0,1,1,1,0,0,0
39,13,58,3,2.1,247,0,0,1,0,0,0
49,24,39,3,1.7,0,1,0,1,0,1,0
66,41,14,4,0.6,0,0,0,0,0,1,0
29,5,135,3,5.3,0,0,1,1,1,0,0
42,17,115,2,0.4,0,0,0,1,0,0,0
38,12,39,2,0.3,174,0,0,1,0,0,0
32,7,134,2,3.3,0,0,0,1,0,0,0
46,22,102,3,4.5,0,0,0,1,0,0,1
57,33,80,4,1.6,0,0,0,0,0,1,0
37,13,64,1,1.5,0,0,0,1,0,0,1
38,12,89,4,1.4,0,0,0,0,0,1,0
35,8,45,4,1.0,0,0,0,0,1,1,0
60,35,64,2,2.8,0,0,0,0,0,0,0
63,39,160,2,2.1,0,0,0,1,1,0,0
36,9,44,4,1.0,101,1,0,1,0,1,0
51,25,132,1,0.3,0,0,0,1,0,0,0
62,38,158,2,2.1,0,0,0,0,1,0,0
40,14,28,2,0.8,0,0,0,0,0,0,1
37,13,38,1,1.5,116,0,0,0,1,1,0
42,18,103,1,3.33,0,1,1,1,1,0,0
29,5,135,2,0.6,0,0,0,0,0,0,0
52,26,31,4,1.8,0,0,0,1,1,0,0
28,3,55,4,2.2,0,0,0,1,1,0,0
28,3,123,1,0.8,146,0,0,0,0,0,0
61,37,141,3,0.7,0,0,1,1,1,0,0
34,10,13,4,1.0,95,1,0,1,0,0,0
35,5,85,4,4.0,0,0,0,1,0,0,1
38,13,171,2,7.8,0,0,0,1,0,0,0
33,9,38,1,1.33,115,0,0,0,0,0,0
33,7,58,4,2.2,0,0,0,1,1,1,0
33,8,78,3,0.6,0,0,0,1,0,1,0
60,35,24,1,0.1,0,0,0,0,0,0,0
41,17,63,2,3.2,0,0,0,0,0,0,0
26,0,14,4,0.4,94,0,0,1,0,0,0
30,5,30,4,0.8,158,0,0,1,0,0,0
55,30,32,4,0.1,0,1,0,0,0,0,1
35,9,109,3,4.0,0,0,0,0,0,0,0
39,13,58,3,2.1,169,0,0,1,0,0,0
43,17,41,3,2.2,0,0,0,1,0,1,0
29,3,53,4,2.1,0,0,0,1,0,0,1
24,-1,35,2,1.7,0,0,0,0,0,1,0
34,9,89,1,0.0,0,0,0,1,0,0,0
27,2,130,3,4.4,192,0,0,1,0,0,0
52,28,145,2,6.8,0,0,0,1,0,0,0
58,34,152,4,3.6,0,0,0,0,0,0,1
50,24,81,2,0.4,0,0,0,0,0,0,1
61,36,23,2,0.5,103,0,0,1,0,1,0
50,24,103,1,0.3,0,0,0,1,0,0,0
57,32,31,3,0.1,0,0,0,1,0,1,0
32,7,52,2,0.1,0,0,0,1,0,0,0
45,21,91,1,4.7,0,0,0,1,0,0,0
34,8,34,2,2.0,0,1,0,1,0,0,1
30,5,98,4,1.8,129,1,1,1,1,0,1
29,3,49,1,1.5,0,0,0,0,0,0,0
53,26,8,1,0.5,0,0,0,0,1,1,0
34,10,41,1,2.4,0,0,0,0,0,1,0
39,15,28,1,1.4,118,0,0,1,1,0,1
51,26,12,2,0.7,109,0,0,1,1,0,1
36,9,31,4,1.0,0,1,0,1,0,1,0
35,8,38,4,1.0,124,0,0,1,0,1,0
31,5,29,1,0.3,0,0,0,0,0,0,0
61,36,81,3,1.8,0,0,0,1,0,1,0
58,32,54,3,0.3,0,0,0,1,1,1,0
58,33,52,3,0.5,0,0,0,0,1,1,0
41,17,94,3,3.8,327,1,1,1,0,1,0
34,9,68,1,2.8,0,0,0,1,0,0,0
27,3,30,1,1.0,80,0,0,0,0,0,1
28,4,80,3,2.5,0,0,0,1,0,0,0
39,13,61,2,2.4,90,0,0,1,0,1,0
39,9,118,2,6.0,246,0,1,1,1,0,1
39,13,89,1,2.8,153,0,0,1,1,0,1
39,14,101,2,0.4,0,0,0,1,1,0,0
42,18,41,1,1.8,94,0,0,1,0,0,0
28,3,11,4,0.5,0,0,0,0,0,0,1
36,10,65,4,2.2,0,0,0,0,0,1,0
58,34,19,1,1.2,0,0,0,0,0,0,1
36,9,40,2,1.0,0,0,0,1,0,1,0
26,1,35,2,1.7,119,0,0,0,1,1,0
37,12,190,2,3.0,475,0,0,1,0,0,0
30,5,121,2,3.3,0,0,0,0,1,0,0
56,29,51,3,1.0,0,0,0,1,0,1,0
50,25,160,4,4.3,410,0,0,0,0,0,1
58,32,73,2,2.3,224,0,0,1,1,0,1
33,9,42,1,2.1,0,0,0,1,0,0,1
32,6,25,2,0.3,0,0,0,0,1,0,0
38,12,45,4,1.2,138,0,0,1,0,1,0
25,1,113,3,2.5,0,0,0,0,1,0,0
29,4,183,3,8.3,0,0,0,1,0,0,1
58,32,32,3,1.4,0,0,0,1,0,0,0
49,22,78,3,2.0,0,0,0,1,0,1,0
32,8,25,3,0.9,0,0,0,1,1,0,1
40,15,52,3,0.8,113,0,0,1,0,0,1
56,32,33,3,1.5,0,0,0,0,0,0,0
